OBJECTID_1,OUTFALL,ACREAGE,Y2STATUS,GROUP_,Y2CATEGORY,C_DISTRICT,WSHED,Shape_Length,Shape_Area
382,H1132,12.664829720000000,Proposed,0,5,E,HUNTING BAYOU,3455.566117229675001,551680.067615017062053
391,W1046,23.448379129999999,Proposed,2,2,G,BUFFALO BAYOU,5069.773473234364246,1021411.464757561101578
392,H1136,13.367467850000001,Proposed,4,4,E,HUNTING BAYOU,3237.274536225965676,582286.799870901973918
396,P1060,124.979793659999999,Proposed,3,1,B,GREENS BAYOU,14844.758696362418050,5444119.669077276252210
509,P1030,43.226251359999999,Proposed,4,4,B,GREENS BAYOU,6559.814744001193503,1882935.301225872011855
510,P1031,130.092470380000009,Proposed,4,4,B,GREENS BAYOU,12952.532932797892499,5666827.633299367502332
511,P1034,79.733302480000006,Proposed,0,5,B,GREENS BAYOU,10742.218881638447783,3473182.281273957341909
512,P1235,42.858338709999998,Proposed,4,4,B,GREENS BAYOU,6798.654634216594786,1866909.429935797117651
513,P1033,63.034043070000003,Proposed,0,5,B,GREENS BAYOU,9524.554071340449809,2745763.223927167244256
514,P1234,92.480284830000002,Proposed,4,4,B,GREENS BAYOU,11529.181796500293785,4028440.844140315428376
515,P1028,51.632783109999998,Proposed,4,4,B,GREENS BAYOU,7078.837335700498443,2249124.070571707561612
516,P1221,11.351916850000000,Proposed,0,5,B,GREENS BAYOU,2774.549043750924284,494489.566050951892976
517,P1222,2.463515840000000,Proposed,0,5,B,GREENS BAYOU,1353.469772012596422,107310.803175941226073
521,P1215,113.805685870000005,Proposed,4,4,B,GREENS BAYOU,14943.999527098892941,4957375.848438408225775
527,P1001,39.897739889999997,Proposed,4,4,B,GREENS BAYOU,6439.361380236184232,1737945.344824958126992
529,P1003,35.828542349999999,Proposed,4,4,B,GREENS BAYOU,5789.344057564946525,1560691.244456029264256
530,P1236,143.166310769999996,Proposed,4,4,B,GREENS BAYOU,13288.746321948359764,6236324.715316919609904
531,P1214,36.589419030000002,Proposed,0,5,B,GREENS BAYOU,5727.665263632798997,1593834.860599585808814
537,P1035,17.811155469999999,Proposed,4,4,B,GREENS BAYOU,3638.644220120309910,775853.976993900723755
538,P1212,32.510455020000002,Proposed,0,5,B,GREENS BAYOU,5553.962500962963531,1416155.373909074114636
539,P1211,62.072779560000001,Proposed,0,5,B,GREENS BAYOU,6697.763926204503150,2703890.183418334461749
540,P1036,19.978494319999999,Proposed,4,4,B,GREENS BAYOU,3801.505232531872934,870263.354451905353926
542,P1210,8.604001780000001,Proposed,0,5,B,GREENS BAYOU,3126.413093718464097,374790.204362445801962
543,P1006,38.835976920000000,Proposed,4,4,B,GREENS BAYOU,8956.703979176843859,1691695.353111964184791
544,P1209,96.749712079999995,Proposed,4,4,B,GREENS BAYOU,10762.847931061554846,4214417.202071235515177
546,P1207,8.235885630000000,Proposed,0,5,B,GREENS BAYOU,3430.766680128965163,358755.186096858291421
547,P1008,63.843532609999997,Proposed,4,4,B,GREENS BAYOU,8183.586486197653358,2781024.242143169045448
548,P1208,30.141453920000000,Proposed,4,4,B,GREENS BAYOU,4946.397250431009525,1312961.662283495767042
549,P1004,79.553108409999993,Proposed,4,4,B,GREENS BAYOU,10902.531781959931322,3465333.419588537886739
552,P1037,47.781216219999997,Proposed,4,4,B,GREENS BAYOU,6055.976586958167900,2081349.741556975757703
554,P1206,29.249941209999999,Proposed,4,4,B,GREENS BAYOU,5044.718444200913837,1274127.493847781093791
556,P1184,81.273282219999999,Proposed,4,4,A,GREENS BAYOU,9446.208268993254023,3540263.928893979638815
557,P1022,26.930582739999998,Proposed,4,4,B,GREENS BAYOU,5040.905129438174299,1173096.239036017330363
558,P1183,9.556259210000000,Proposed,4,4,A,GREENS BAYOU,3081.601481115006663,416270.485150323715061
559,P1021,35.541041340000000,Proposed,4,4,B,GREENS BAYOU,5372.111188655212572,1548167.482866619946435
560,P1015,41.929330970000002,Proposed,4,4,B,GREENS BAYOU,5691.137114186693907,1826441.717157814884558
561,P1014,59.929703179999997,Proposed,4,4,B,GREENS BAYOU,6545.554929210326009,2610537.689585421234369
564,P1202,137.633586350000002,Proposed,4,4,B,GREENS BAYOU,10179.259848449772107,5995318.642813530750573
566,P1194,31.767641760000000,Proposed,4,4,B,GREENS BAYOU,4768.500799803527116,1383798.288520956644788
567,P1198,42.482506819999998,Proposed,0,5,B,GREENS BAYOU,6472.642985308296375,1850537.725148652214557
575,P1009,47.258217940000002,Proposed,4,4,B,GREENS BAYOU,6470.776639995375263,2058568.456276498734951
581,P1025,33.122265759999998,Proposed,0,5,B,GREENS BAYOU,6268.741250703857077,1442805.945214288076386
583,P1020,24.291541270000000,Proposed,4,4,B,GREENS BAYOU,4475.735702207266513,1058139.576026723720133
584,P1005,101.201562460000005,Proposed,4,4,B,GREENS BAYOU,10531.496491089768824,4408339.899694444611669
585,P1019,55.745513379999998,Proposed,4,4,B,GREENS BAYOU,6367.322212336555822,2428274.704057694412768
588,P1016,42.292195880000001,Proposed,4,4,B,GREENS BAYOU,5726.652815139442282,1842248.064172447426245
592,P1011,116.546491410000002,Proposed,4,4,B,GREENS BAYOU,13153.888063341877569,5076765.145209475420415
594,P1007,15.243403790000000,Proposed,4,4,B,GREENS BAYOU,3341.468789771765387,664002.790815519168973
595,P1192,27.629897119999999,Proposed,4,4,B,GREENS BAYOU,5700.982352742775220,1203558.186139192897826
598,P1204,14.429359359999999,Proposed,4,4,B,GREENS BAYOU,3426.158834215601019,628542.849144335137680
599,P1023,33.142713090000001,Proposed,4,4,B,GREENS BAYOU,5278.901117623649043,1443696.590106827905402
601,P1197,38.369066230000001,Proposed,4,4,B,GREENS BAYOU,5479.680144344866676,1671356.130505406297743
602,P1041,27.508290580000001,Proposed,4,4,B,GREENS BAYOU,4488.503109435795523,1198261.223612940171733
603,P1040,16.677242830000001,Proposed,4,4,B,GREENS BAYOU,3864.546685860359503,726460.779653294244781
604,P1039,22.150619610000000,Proposed,0,5,B,GREENS BAYOU,4198.301639336218614,964880.806848706328310
609,W1016,26.506673719999998,Proposed,1,2,G,BUFFALO BAYOU,4793.244469201410539,1154630.539729599142447
616,P1049,86.581280079999999,Proposed,3,1,E,GREENS BAYOU,8934.228887347311684,3771480.778798206243664
626,C1068,39.199900810000003,Proposed,4,4,I,SIMS BAYOU,14425.575734972797363,1707547.835632409667596
632,C1078,16.745222890000001,Proposed,4,4,I,SIMS BAYOU,4039.750388197411667,729421.969834174960852
635,P1180,86.082265190000001,Proposed,0,5,B,GREENS BAYOU,8100.895252376067219,3749743.397113231942058
636,H1022,11.698010920000000,Proposed,4,4,B,HUNTING BAYOU,3161.308751520684837,509565.324317134800367
640,W1035,278.372262100000000,Proposed,4,4,G,BUFFALO BAYOU,19533.433951616367267,12125895.694613417610526
645,W1072,21.491366679999999,Proposed,0,5,G,BUFFALO BAYOU,3826.480613358467053,936163.943636949057691
651,D6053,67.983869170000006,Proposed,0,5,C,BRAYS BAYOU,8435.024359012759305,2961377.490541694685817
652,C1091,12.212211780000001,Proposed,1,2,I,SIMS BAYOU,3739.582739902254616,531963.803357733180746
663,C1177,277.876827359999993,Proposed,0,5,D,SIMS BAYOU,17293.682442559944320,12104313.877719214186072
664,C1337,36.395400920000000,Proposed,4,4,D,SIMS BAYOU,4980.031314402176577,1585383.611593009671196
671,C1336,101.154724020000003,Proposed,0,5,D,SIMS BAYOU,9166.252561937286373,4406299.847830159589648
675,C1046,53.655055339999997,Proposed,4,4,E,SIMS BAYOU,6669.125048103875997,2337214.117061119526625
680,C1165,218.402003549999989,Proposed,0,5,D,SIMS BAYOU,18319.398124267292587,9513591.257397154346108
682,C1115,41.004997899999999,Proposed,0,5,E,SIMS BAYOU,7314.925279698250961,1786177.738896347815171
683,C1330,70.189052279999999,Proposed,4,4,E,SIMS BAYOU,7146.285655166143442,3057435.021015537902713
684,C1324,62.903645969999999,Proposed,0,5,E,SIMS BAYOU,6689.133444402023997,2740082.819700797088444
692,E5201,42.222139149999997,Proposed,3,2,B,WHITE OAK BAYOU,5583.977519996715273,1839196.437473073601723
696,C1230,118.840539770000007,Proposed,0,5,D,SIMS BAYOU,10146.362869502147078,5176694.009820353239775
700,C1189,34.741698030000002,Proposed,0,5,D,SIMS BAYOU,4870.848079383644290,1513348.447689507389441
707,P1038,24.511332580000001,Proposed,4,4,B,GREENS BAYOU,4330.005212061805651,1067713.842893340159208
709,P1026,15.333541600000000,Proposed,4,4,B,GREENS BAYOU,3224.314304519616144,667929.014341849833727
717,E5211,242.403289430000001,Proposed,4,4,A,WHITE OAK BAYOU,13571.844973120490977,10559087.327439785003662
718,P1196,91.996887509999993,Proposed,4,4,B,GREENS BAYOU,11892.371307129256820,4007384.748224088922143
719,E5210,204.720612869999997,Proposed,4,4,A,WHITE OAK BAYOU,15262.797623445690988,8917629.207885362207890
722,P1242,36.407694040000003,Proposed,4,4,B,GREENS BAYOU,5045.345993499890938,1585919.057169018080458
724,P1153,132.156760029999987,Proposed,3,1,B,GREENS BAYOU,10068.913904625149371,5756748.582903347909451
725,P1140,53.941737750000001,Proposed,4,3,B,GREENS BAYOU,6814.069526349851913,2349702.269459272734821
726,E5145,51.803015539999997,Proposed,4,5,A,WHITE OAK BAYOU,6094.343018771620336,2256539.548641425091773
727,E5120,77.388234490000002,Proposed,4,5,B,WHITE OAK BAYOU,8297.542032980945805,3371031.038189872633666
728,P1166,83.491573270000004,Proposed,1,1,B,GREENS BAYOU,8450.597555933270996,3636892.899140901863575
729,P1162,81.174339219999993,Proposed,1,1,B,GREENS BAYOU,7844.427238908418076,3535954.235908012837172
730,P1161,37.728615280000000,Proposed,1,1,B,GREENS BAYOU,5298.631534449490573,1643458.457055663922802
732,P1167,82.246035890000002,Proposed,3,1,B,GREENS BAYOU,9477.903448273011236,3582636.770537265110761
734,P1046,53.069644480000001,Proposed,4,4,B,GREENS BAYOU,7536.385623525145093,2311713.980020256247371
736,E5119,63.265271960000000,Proposed,4,4,B,WHITE OAK BAYOU,7777.324989830559389,2755835.035926274023950
738,P1154,26.746293540000000,Proposed,4,3,B,GREENS BAYOU,4423.569875042080639,1165068.385945467976853
741,P1075,201.677061320000007,Proposed,1,1,B,GREENS BAYOU,12321.337635125797533,8785053.173919253051281
745,P1044,14.390528789999999,Proposed,4,4,B,GREENS BAYOU,3174.774473472206409,626851.376909337355755
746,P1045,85.092775369999998,Proposed,4,4,B,GREENS BAYOU,9572.357517760332485,3706641.322256013285369
748,C1039,6.861849620000000,Proposed,0,5,I,SIMS BAYOU,2558.343039495035100,298902.081475654325914
750,C1027,42.050362489999998,Proposed,3,2,I,SIMS BAYOU,6039.457172263826578,1831713.888693192275241
763,C1123,104.651022499999996,Proposed,0,5,E,SIMS BAYOU,11027.618735648202346,4558598.682385212741792
765,C1064,20.268278590000001,Proposed,0,5,I,SIMS BAYOU,4249.643164454366342,882886.169439449906349
778,H1071,6.609281230000000,Proposed,0,5,B,SHIP CHANNEL,2149.449907982354944,287900.254071929142810
792,C1223,369.185976369999992,Proposed,4,4,D,SIMS BAYOU,27257.667134786417591,16081741.639646777883172
793,C1250,11.394248090000000,Proposed,0,5,D,SIMS BAYOU,3594.369069305375433,496333.293366002326366
794,C1311,92.930142810000007,Proposed,0,5,D,SIMS BAYOU,8401.626206946744787,4048037.039585509337485
807,H1133,17.006526180000002,Proposed,0,5,E,HUNTING BAYOU,3628.548490388720438,740804.183006302104332
809,W1042,37.049045610000000,Proposed,4,4,G,BUFFALO BAYOU,5291.950697333828430,1613856.456687207566574
816,D8029,26.162487120000002,Proposed,0,5,F,BRAYS BAYOU,4898.083657919262805,1139638.007861347869039
833,C1111,524.106255310000051,Proposed,1,2,I,SIMS BAYOU,45813.822746275662212,22830069.007936175912619
841,C1021,37.829623820000002,Proposed,0,5,I,SIMS BAYOU,5370.807031833033761,1647858.279277859022841
846,W1076,20.036183229999999,Proposed,0,5,G,BUFFALO BAYOU,3785.502207838684171,872776.251534213311970
852,W1081,126.372630920000006,Proposed,0,5,A,BUFFALO BAYOU,10833.013416002591839,5504791.680469512008131
859,W1080,170.807545760000011,Proposed,0,5,A,BUFFALO BAYOU,11727.828092117213600,7440376.934529582038522
860,E5005,42.847984810000000,Proposed,4,4,H,WHITE OAK BAYOU,5847.062323156238563,1866458.215063814073801
892,C1339,128.057249619999993,Proposed,0,5,D,SIMS BAYOU,10267.473182668467416,5578173.570983525365591
