OBJECTID,geoid,County,Morning Temperature,Afternoon Temp Anomaly,Morning Temp Anomaly,Evening Temp Anomaly,Impervious Surface %,Tree Canopy %,Total population,Male pop under 5,Female pop under 5,65 and older %,65 and older,Poverty,Poverty %,Median Income,State,Region,"Percent of Population that is White alone, Non-Hispanic",Percent of Population that is Minority (non-White)
1256,48201233600,Harris County,77.75805705,-1.224780966,-1.068581694,-1.014806839,27.73069895,2.01010447,2207,111,84,7.7,171,2207,38,27450,Texas,Houston,1.9,98.1
1257,48201233701,Harris County,79.06670903,-0.009122211,0.240070291,0.217162577,57.074011,2.613112817,5414,50,222,7.6,410,5414,36.7,39492,Texas,Houston,11.1,88.9
1258,48201233702,Harris County,78.25871629,-0.793895489,-0.567922448,-0.243191166,28.37819359,2.221289274,3036,171,151,7.5,227,2991,26,49013,Texas,Houston,2.5,97.5
1259,48201233703,Harris County,78.05066906,-0.601164387,-0.775969682,-0.473529166,32.08429874,14.3316336,2510,119,50,9,226,2510,16.8,58243,Texas,Houston,12.7,87.3
1260,48201240100,Harris County,79.67019224,0.04948926,0.843553502,0.88562432,64.44430538,1.423076923,3959,135,176,3.4,136,3959,27.2,30945,Texas,Houston,11.2,88.8
1261,48201240502,Harris County,79.03437589,0.086248211,0.207737154,0.793595447,66.41101695,0,5979,772,434,2.2,133,5979,32.2,24930,Texas,Houston,2.1,97.9
1262,48201252301,Harris County,78.27544998,-0.380943139,-0.551188761,-0.131183929,55.18029557,0.808463252,9270,317,248,9.6,887,9234,5.5,64914,Texas,Houston,9,91
1263,48201252302,Harris County,78.22529519,-0.86101222,-0.601343547,-0.392327265,33.61432087,7.918819188,14935,619,648,5.8,863,14935,12.7,76070,Texas,Houston,7.4,92.6
1264,48201252400,Harris County,77.85522785,-0.815028756,-0.971410886,-0.23947315,40.38927423,5.029202641,6461,157,294,13.3,861,6461,20.8,61875,Texas,Houston,33.7,66.3
1265,48201253300,Harris County,78.38613898,-1.764478443,-0.440499759,-1.447633548,17.34278861,8.481163045,3513,268,38,18.9,664,3500,5.5,85657,Texas,Houston,49.5,50.5
1266,48201253500,Harris County,78.01750479,-1.316755903,-0.809133954,-1.062395873,39.70703664,3.467955356,9816,743,352,7.3,716,9702,25,56155,Texas,Houston,25.8,74.2
1267,48201253600,Harris County,78.67911552,-1.478936411,-0.147523223,-1.043396217,39.4252967,9.02560039,6647,110,332,13,867,6647,19.4,45658,Texas,Houston,30.1,69.9
1268,48201253700,Harris County,78.75195563,-1.25056213,-0.074683108,-0.973647669,48.09589947,3.397684036,5813,259,289,11.7,679,5509,10.1,58105,Texas,Houston,25.8,74.2
1269,48201254100,Harris County,78.07151535,-1.847916546,-0.755123391,-1.424489419,45.10658482,3.270553691,5184,300,373,10.8,559,5102,19.8,43026,Texas,Houston,22.7,77.3
1270,48201254200,Harris County,78.61347699,-2.315098985,-0.213161748,-1.608367574,55.92521368,0.484685653,2620,78,99,12.1,316,2616,21.1,52292,Texas,Houston,17.1,82.9
1271,48201254300,Harris County,78.70889921,-1.34399468,-0.117739532,-1.122420399,55.61577532,2.307468042,5138,176,180,7.4,378,5110,23.9,48602,Texas,Houston,22,78
1272,48201254400,Harris County,78.24812144,-1.650268772,-0.578517299,-1.351637675,46.24483871,6.408416444,2971,148,114,11.6,346,2971,32.2,38043,Texas,Houston,11.3,88.7
1273,48201254500,Harris County,78.62027477,-1.375934535,-0.206363966,-0.979341528,47.64722979,7.217017208,1887,55,56,11.6,219,1887,18.1,48207,Texas,Houston,7.4,92.6
1274,48201254600,Harris County,78.4577697,-1.295029623,-0.368869043,-1.094639596,34.53188055,3.149163231,3678,232,84,9.7,358,3678,18.7,56509,Texas,Houston,10.6,89.4
1275,48201310100,Harris County,80.1504209,0.469954748,1.323782163,0.558853282,77.96591831,0.508123477,5346,180,143,4.6,246,5346,34.2,70510,Texas,Houston,22.5,77.5
1276,48201310200,Harris County,80.38139662,0.396910025,1.554757879,0.695910132,80.31840077,0.038405797,1912,65,29,3.6,68,1912,4.9,134464,Texas,Houston,43.4,56.6
1277,48201310300,Harris County,79.59134368,0.422430043,0.764704938,0.754124436,74.40488586,0.030949519,4840,108,159,12.4,602,4816,20.3,44943,Texas,Houston,22,78
1278,48201310400,Harris County,79.48405366,0.444236645,0.657414921,0.491970323,73.6938883,1.113843713,3430,115,98,15.5,530,3430,43.7,31853,Texas,Houston,4.3,95.7
1279,48201310500,Harris County,80.00537701,0.40361309,1.178738276,0.717580399,69.7916293,0.283535218,4439,185,161,10.5,468,4439,26.2,39928,Texas,Houston,4.1,95.9
1280,48201310600,Harris County,79.38067922,0.352782588,0.554040485,0.529117122,72.63368848,0.02820122,5407,58,259,11,594,5395,23.4,35122,Texas,Houston,11.8,88.2
1281,48201310700,Harris County,78.9076376,0.249310135,0.080998866,0.107368651,62.08229311,2.454987835,4582,154,195,8.5,389,4555,38.4,51071,Texas,Houston,14.4,85.6
1282,48201310800,Harris County,78.91843302,-0.178053727,0.091794278,-0.001595742,53.52529551,4.367223605,2643,41,120,8.7,229,2643,21,38856,Texas,Houston,8.8,91.2
1283,48201310900,Harris County,79.42450415,0.259614223,0.597865409,0.670743265,76.50929752,0.059440559,5442,224,350,11.1,605,5442,39,30421,Texas,Houston,4.5,95.5
1284,48201311000,Harris County,79.76318683,0.597976059,0.936548096,0.731383925,71.54760062,0.372965116,5754,172,78,14.2,815,5754,34.8,29981,Texas,Houston,4.4,95.6
1285,48201311100,Harris County,79.34672325,0.474475166,0.520084507,0.521567962,71.781491,0.232275862,5304,255,150,13.2,701,5294,19.9,38619,Texas,Houston,2.2,97.8
1286,48201311200,Harris County,77.85243611,-0.642441798,-0.974202633,-0.534195318,39.71155596,2.343572241,4922,168,135,13.3,654,4898,27.2,39148,Texas,Houston,8.3,91.7
1287,48201311300,Harris County,78.84530745,0.380600773,0.018668712,0.28352859,64.51167076,0.012968967,4915,181,193,10.7,526,4915,22.3,48237,Texas,Houston,1.9,98.1
1288,48201311400,Harris County,79.23529269,0.393844348,0.408653952,0.1568677,60.59217028,1.421097285,1667,61,40,9.9,165,1667,28.1,40179,Texas,Houston,0.8,99.2
1289,48201311500,Harris County,78.99913885,0.207397938,0.172500115,0.075393949,62.92230383,0.534904014,7543,93,396,15.3,1151,7524,18.5,52513,Texas,Houston,2,98
1290,48201311600,Harris County,80.03436707,0.553267059,1.207728334,-0.091177207,72.56959707,0.051388889,3923,169,215,2.7,104,3906,34.8,31542,Texas,Houston,3,97
1291,48201311700,Harris County,79.62323806,0.703481775,0.796599322,0.478746209,73.40629096,0.410908193,5741,255,356,6.8,388,5688,35.3,32159,Texas,Houston,2.3,97.7
1292,48201311800,Harris County,78.87527855,0.213911844,0.048639814,0.249952161,63.69080882,4.594691733,4585,292,195,8.2,376,4559,29.5,39776,Texas,Houston,3.8,96.2
1293,48201311900,Harris County,79.44196048,0.197416085,0.615321736,0.47938338,69.11588542,1.416938111,2454,56,116,11.6,285,2447,16.5,52059,Texas,Houston,9.7,90.3
1294,48201312000,Harris County,78.86121737,-0.31752265,0.034578631,-0.306011872,54.92625369,0.699298116,4570,28,7,6.3,287,1455,12.7,66250,Texas,Houston,34.4,65.6
1295,48201312100,Harris County,79.42632597,0.132716232,0.599687232,-0.454551271,55.14180108,0.125126646,4030,0,0,0,0,0,,,Texas,Houston,39.7,60.3
1296,48201312200,Harris County,78.78552394,0.012144133,-0.041114795,0.076967795,67.61971831,0.098819142,1939,9,92,9.7,189,1939,44.5,26293,Texas,Houston,2.4,97.6
1297,48201312300,Harris County,79.09700408,0.394748432,0.270365338,0.164807835,66.12890874,0.266411116,1965,60,108,10.2,201,1965,32.6,39583,Texas,Houston,12.9,87.1
1298,48201312400,Harris County,78.76151018,0.15008993,-0.065128559,-0.125685203,67.01077944,0.013108614,2056,54,180,14.7,302,2046,39.5,21500,Texas,Houston,4.5,95.5
1299,48201312500,Harris County,80.17619785,1.067170412,1.349559111,1.083773978,80.07688442,0.061178248,3470,46,94,6.4,221,3441,21.1,99489,Texas,Houston,46.7,53.3
1300,48201312600,Harris County,79.61357609,0.460824925,0.786937347,0.198394227,71.19415449,0.102347418,8023,213,313,10.6,848,7990,17.4,71023,Texas,Houston,48.9,51.1
1301,48201312700,Harris County,79.04685897,0.163818363,0.220220226,-0.055098681,68.35491071,0,2069,128,54,9,186,2069,12.2,59531,Texas,Houston,13.7,86.3
1302,48201312800,Harris County,79.17536419,0.325534412,0.348725455,-0.125137794,65.05202312,0.016654598,2813,107,129,4.4,123,1820,60.6,15538,Texas,Houston,8.4,91.6
1303,48201312900,Harris County,78.23638301,-0.305299514,-0.590255733,-0.144281497,55.50063211,0.212826603,4361,63,83,12.2,531,3830,27.5,39797,Texas,Houston,11.2,88.8
1304,48201313000,Harris County,78.94632271,0.223980045,0.119683971,0.292622356,63.94771242,0.082410824,2736,48,92,12.8,349,2722,20.4,45237,Texas,Houston,14.7,85.3
1305,48201313100,Harris County,79.49670364,-0.421232682,0.670064904,-0.354895451,54.45389745,1.036188179,4049,109,90,16.6,674,3768,8.3,88575,Texas,Houston,55.5,44.5
1306,48201313200,Harris County,78.28608174,-0.116050416,-0.540557001,-0.143384735,52.02886598,1.672425249,3998,109,47,17.8,710,3939,13.5,65213,Texas,Houston,14.3,85.7
1307,48201313300,Harris County,78.09473903,-0.273646729,-0.73189971,-0.188712883,45.93868671,4.820864382,2491,51,125,25.4,633,2475,31.4,34297,Texas,Houston,6.9,93.1
1308,48201313400,Harris County,78.35703439,0.149434128,-0.469604348,0.394455063,59.55620155,0.612,2972,119,54,14.7,438,2972,32.9,24024,Texas,Houston,6.2,93.8
1309,48201313500,Harris County,77.99680536,0.335444264,-0.829833375,0.476889398,57.90949227,1.42363712,2792,131,127,12.9,359,2787,36.6,43047,Texas,Houston,2.9,97.1
1310,48201313600,Harris County,78.37976543,0.285542988,-0.44687331,0.541704641,59.38694639,0.951504528,4650,217,217,14.4,668,4650,43.8,24448,Texas,Houston,5.9,94.1
1311,48201313700,Harris County,78.53207443,0.219987579,-0.294564306,0.456115315,60.71915474,0.301075269,2210,22,74,20.1,444,2210,19.9,50750,Texas,Houston,7.2,92.8
1312,48201313800,Harris County,78.63604254,0.333847265,-0.1905962,0.520846789,57.37586347,1.610465116,4427,98,219,9.3,413,4427,33.5,28885,Texas,Houston,1.4,98.6
1313,48201313900,Harris County,79.95139573,0.2843969,1.124756987,0.65799952,71.3999346,0.149766757,4623,47,76,3.5,160,4623,21.2,52392,Texas,Houston,33.4,66.6
