,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Drought - Number of Events,Drought - Annualized Frequency,Drought - Expected Annual Loss Rate - National Percentile,Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
50,73038.0,T48201222401,Texas,TX,Harris,222401.0,3777.0,1.98,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.77,17.0,0.18,87.29,126.0,5.25,99.73
51,73039.0,T48201222402,Texas,TX,Harris,222402.0,5758.0,1.59,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,53.07,17.0,0.18,87.85,126.0,5.25,99.11
52,73040.0,T48201222501,Texas,TX,Harris,222501.0,3620.0,0.35,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.95,16.0,0.18,87.59,126.0,0.0,0.0
53,73041.0,T48201222502,Texas,TX,Harris,222502.0,4395.0,1.32,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.55,17.0,0.18,87.98,126.0,5.25,99.38
54,73042.0,T48201222504,Texas,TX,Harris,222504.0,3345.0,0.11,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.22,16.0,0.18,88.2,126.0,0.0,0.0
55,73043.0,T48201222505,Texas,TX,Harris,222505.0,2986.0,0.55,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,53.06,16.0,0.18,87.37,126.0,5.25,96.28
56,73044.0,T48201222601,Texas,TX,Harris,222601.0,2322.0,0.53,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.92,17.0,0.18,87.36,126.0,5.25,99.06
57,73045.0,T48201222602,Texas,TX,Harris,222602.0,2694.0,0.49,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.44,16.0,0.18,87.36,126.0,0.0,0.0
58,73046.0,T48201222701,Texas,TX,Harris,222701.0,2360.0,0.42,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.49,19.0,0.18,87.25,126.0,5.25,51.69
59,73047.0,T48201222702,Texas,TX,Harris,222702.0,3517.0,2.35,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.06,20.0,0.18,87.09,126.0,5.25,99.55
60,73048.0,T48201222800,Texas,TX,Harris,222800.0,3320.0,2.65,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.56,18.0,0.18,87.0,126.0,5.25,99.0
61,73049.0,T48201222900,Texas,TX,Harris,222900.0,8030.0,2.27,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.2,19.0,0.18,87.19,126.0,5.25,99.12
62,73050.0,T48201223001,Texas,TX,Harris,223001.0,3885.0,1.22,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.51,19.0,0.18,87.11,126.0,5.25,96.95
63,73051.0,T48201223002,Texas,TX,Harris,223002.0,4004.0,0.29,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.64,17.0,0.18,88.08,126.0,0.0,0.0
64,73052.0,T48201223100,Texas,TX,Harris,223100.0,2233.0,1.87,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.74,19.0,0.18,86.92,126.0,5.25,99.24
65,73053.0,T48201230100,Texas,TX,Harris,230100.0,1824.0,0.53,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.79,19.0,0.18,87.27,126.0,5.25,99.81
66,73054.0,T48201230200,Texas,TX,Harris,230200.0,5363.0,3.04,,0.01,79.64,266.0,12.09,0.0,2.0,0.12,51.72,19.0,0.18,87.06,126.0,5.25,99.52
