OBJECTID,Name,Label,Park_ID,Park_Acres,ShapeSTArea,ShapeSTLength
954,Howard L Ward Park,Howard L Ward Park,PN4520,6.06,263762.545305157,2100.22239149664
955,McLean Road Park,McLean Road Park,PN4522,41.96,1827980.72686352,6398.15341406866
956,Unknown,Unknown,PN4525,0.79,34414.8932945983,1432.83197766101
957,Unknown,Unknown,PN4526,1.09,47351.7757236637,826.336417240764
958,Unknown,Unknown,PN4528,1.56,68164.0262737686,1549.9906722304
959,Unknown,Unknown,PN4529,2.1,91569.736674874,1235.5509094562
960,Unknown,Unknown,PN4530,1.5,65404.8318733837,1070.09554770687
961,TIMBER CREEK GC,TIMBER CREEK GC,PN4531,314.95,13719076.3336628,21303.9775772075
962,Unknown,Unknown,PN4532,0.39,17017.4789005175,597.839028882549
963,Unknown,Unknown,PN4533,0.47,20663.3097511104,568.639512604136
964,Unknown,Unknown,PN4536,112.59,4904572.23996145,15123.6894110644
965,Hyde Park,Hyde Park,PN4537,1.3,56588.2269033251,995.028484173858
966,Clear Lake Park,Clear Lake Park,PN4538,4.93,214732.829881131,1874.37178365893
967,Clear Lake Park,Clear Lake Park,PN4541,8.34,363282.301947752,2462.5149173636
968,GOLFCREST COUNTRY CLUB,GOLFCREST COUNTRY CLUB,PN4544,192.7,8394197.81535782,20535.6040301078
969,Unknown,Unknown,PN4546,1.47,63936.2736444574,1452.08814543783
970,Sterling Knoll Park,Sterling Knoll Park,PN4548,4.71,205288.31005362,1940.75631831584
971,Zychlinski Park,Zychlinski Park,PN4549,1.24,54078.6838880427,940.890892451049
972,CLEAR LAKE GOLF CLUB,CLEAR LAKE GOLF CLUB,PN4554,177.17,7717704.74246749,44810.6109861934
973,Unknown,Unknown,PN4556,0.42,18374.0880182713,645.059037101424
974,Unknown,Unknown,PN4557,0.66,28815.6901808273,775.196810542329
975,Unknown,Unknown,PN4558,2.7,117682.558960384,1636.1109972174
976,Unknown,Unknown,PN4559,12.14,528877.484246975,3697.14192846742
977,Unknown,Unknown,PN456,192.19,8371768.94540056,23310.8689534115
978,Clear Lake Park,Clear Lake Park,PN4560,110.17,4799231.06849922,16392.6943296439
979,Unknown,Unknown,PN4568,8.16,355659.733692101,2431.48463032684
980,Countryplace Golf Course,Countryplace Golf Course,PN4569,170.45,7424888.49842492,61479.555697722
981,Miramar Park,Miramar Park,PN4572,4.98,216913.331292567,1868.89741451769
982,Armand Bayou Park,Armand Bayou Park,PN4574,801.62,34918683.5056062,55246.7996926809
983,Rex L Meador Park,Rex L Meador Park,PN4583,27.51,1198555.38692348,7199.81073991069
984,Unknown,Unknown,PN4590,34.1,1485241.69791994,7586.92106717384
985,Unknown,Unknown,PN4600,44.66,1945330.84842103,11039.1246950389
986,Taylor Lake Village Park,Taylor Lake Village Park,PN4611,8.38,365248.222955425,2830.53936339279
987,El Lago Park,El Lago Park,PN4618,7.37,320995.614869367,2310.19170455331
988,Unknown,Unknown,PN4619,169.56,7386053.94222672,18116.2036731403
989,Com Park,Com Park,PN4623,6.19,269804.168955604,3021.55861445894
990,Unknown,Unknown,PN4625,44.6,1942839.9784953,5982.33650529411
991,Clear Creek Golf Club,Clear Creek Golf Club,PN4628,225.71,9831787.67741518,22861.0377920405
992,Unknown,Unknown,PN4631,80.67,3513884.67942843,12419.3478400663
993,Christie Adair County Park,Christie Adair County Park,PN4633,70.76,3082427.14040473,9937.44731676658
994,Sagemeadow Park,Sagemeadow Park,PN4635,3.06,133174.254642088,1520.67535206492
995,Unknown,Unknown,PN4637,2.44,106412.943441814,1656.92541146871
996,Unknown,Unknown,PN4638,2.5,108982.79351733,1741.02591377555
997,Unknown,Unknown,PN4640,4.07,177499.80510526,2514.56999650332
998,Unknown,Unknown,PN4652,105.19,4582108.48970597,11466.8046394538
999,Unknown,Unknown,PN4653,38.53,1678558.18231052,5338.08787672795
1000,Unknown,Unknown,PN4659,226.27,9856239.93261024,16267.1122102977
1001,Unknown,Unknown,PN4660,11.52,501823.791205999,3542.26742575484
1002,Unknown,Unknown,PN4662,3.6,156876.215039637,2271.71897031245
1003,Friendship Park,Friendship Park,PN4665,9.98,434528.727367389,3302.85207139425
1004,Unknown,Unknown,PN4677,0.53,23099.1548915666,627.797014637689
1005,BAY OAKS COUNTRY CLUB,BAY OAKS COUNTRY CLUB,PN4680,169.08,7365014.92264081,41352.4400947704
1006,Unknown,Unknown,PN4682,3.64,158546.781313576,1673.86416781893
1007,Unknown,Unknown,PN4683,4.53,197397.036157331,2062.20216118676
1008,"Roy D. ""Kipper"" Mease Park","Roy D. ""Kipper"" Mease Park",PN4684,1459.56,63578538.3320865,70730.0958583865
1009,Unknown,Unknown,PN4688,21.66,943409.573212825,6719.38848118436
1010,Alameda Park,Alameda Park,PN4689,0.74,32063.111035358,829.901213308975
1011,Unknown,Unknown,PN4691,0.78,34080.3257569778,764.001967180879
1012,Unknown,Unknown,PN4700,9.11,396879.5358321,4717.62624521745
1013,El Franco Lee Park,El Franco Lee Park,PN4703,418.75,18240659.5700781,24205.5601760204
1014,Sagemont Park,Sagemont Park,PN4706,12.33,537055.121401545,3685.52525575418
1015,Bay Area Park,Bay Area Park,PN4709,57.21,2491939.91049915,6939.63980785383
1016,Jones Park,Jones Park,PN4713,21.51,936947.241677853,4266.60430601727
1017,Wildheather Park,Wildheather Park,PN4714,11.87,517239.142618889,3074.19156504493
1018,Unknown,Unknown,PN4716,3.34,145591.561150455,1720.62584148199
