,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile
214,73202,T48201253000,Texas,TX,Harris,253000,4637,6.75,,0.01,83.99
215,73203,T48201253101,Texas,TX,Harris,253101,6624,1.13,,0.01,74.2
216,73204,T48201253102,Texas,TX,Harris,253102,7051,10.27,,0.01,75.77
217,73205,T48201253201,Texas,TX,Harris,253201,6312,6.89,,3.76,82.96
218,73206,T48201253202,Texas,TX,Harris,253202,5331,7.46,,0.01,78.35
219,73207,T48201253300,Texas,TX,Harris,253300,3836,8.39,,3.76,94.65
220,73208,T48201253501,Texas,TX,Harris,253501,6552,0.95,,0.01,77.06
221,73209,T48201253502,Texas,TX,Harris,253502,3792,1.34,,0.01,79
222,73210,T48201253601,Texas,TX,Harris,253601,4173,1.22,,0.76,77.03
223,73211,T48201253602,Texas,TX,Harris,253602,4735,0.97,,3.76,85.16
224,73212,T48201253700,Texas,TX,Harris,253700,5580,1.59,,3.76,81.01
225,73213,T48201253800,Texas,TX,Harris,253800,8862,2.95,,0,71.41
226,73214,T48201253900,Texas,TX,Harris,253900,4626,1.77,,3.76,81.28
227,73215,T48201254000,Texas,TX,Harris,254000,3935,1.06,,3.76,81.94
228,73216,T48201254100,Texas,TX,Harris,254100,5442,1.26,,0,0
229,73217,T48201254200,Texas,TX,Harris,254200,2913,0.49,,0,0
230,73218,T48201254300,Texas,TX,Harris,254300,5340,1.21,,3.76,82.72
231,73219,T48201254400,Texas,TX,Harris,254400,3116,1.12,,3.76,78.64
232,73220,T48201254600,Texas,TX,Harris,254600,3691,2.72,,3.76,86.69
233,73221,T48201254700,Texas,TX,Harris,254700,2421,11.67,,3.76,90.29
234,73222,T48201254800,Texas,TX,Harris,254800,2705,8.26,,3.76,81.08
235,73223,T48201310101,Texas,TX,Harris,310101,3625,0.86,,3.76,73.83
236,73224,T48201310102,Texas,TX,Harris,310102,2455,0.46,,3.76,84.02
237,73225,T48201310200,Texas,TX,Harris,310200,2349,0.73,,0,0
238,73226,T48201310300,Texas,TX,Harris,310300,5026,0.88,,0,0
239,73227,T48201310400,Texas,TX,Harris,310400,3316,0.68,,3.76,72.46
240,73228,T48201310500,Texas,TX,Harris,310500,3755,1.23,,3.76,79.14
241,73229,T48201310600,Texas,TX,Harris,310600,4961,0.69,,0,0
242,73230,T48201310700,Texas,TX,Harris,310700,3699,0.77,,3.76,79.18
243,73231,T48201310800,Texas,TX,Harris,310800,2663,0.75,,3.76,83.31
244,73232,T48201310900,Texas,TX,Harris,310900,5334,0.68,,3.76,76.61
245,73233,T48201311001,Texas,TX,Harris,311001,3040,0.33,,3.76,81.51
246,73234,T48201311002,Texas,TX,Harris,311002,3299,0.62,,3.76,80.43
247,73235,T48201311100,Texas,TX,Harris,311100,5238,1.08,,3.76,87.49
248,73236,T48201311200,Texas,TX,Harris,311200,4588,1.19,,3.76,79.31
249,73237,T48201311300,Texas,TX,Harris,311300,4912,0.58,,0,0
250,73238,T48201311400,Texas,TX,Harris,311400,1546,1.02,,3.76,86.96
251,73239,T48201311501,Texas,TX,Harris,311501,2966,0.3,,0,70.3
252,73240,T48201311502,Texas,TX,Harris,311502,3723,0.62,,0.01,75.31
253,73241,T48201311600,Texas,TX,Harris,311600,3628,0.19,,0,70.36
254,73242,T48201311701,Texas,TX,Harris,311701,3506,0.63,,0,0
255,73243,T48201311702,Texas,TX,Harris,311702,1890,0.43,,0,0
