,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile
115,73103,T48201233400,Texas,TX,Harris,233400,2566,1.02,2,0.12,51.86
116,73104,T48201233501,Texas,TX,Harris,233501,3702,0.56,2,0.12,51.73
117,73105,T48201233502,Texas,TX,Harris,233502,3346,0.54,2,0.12,51.8
118,73106,T48201233600,Texas,TX,Harris,233600,2424,1.54,2,0.12,52.89
119,73107,T48201233701,Texas,TX,Harris,233701,5171,2.89,2,0.12,51.66
120,73108,T48201233702,Texas,TX,Harris,233702,2932,0.96,2,0.12,51.55
121,73109,T48201233703,Texas,TX,Harris,233703,2655,2.86,2,0.12,51.81
122,73110,T48201240101,Texas,TX,Harris,240101,1991,0.64,2,0.12,52.34
123,73111,T48201240102,Texas,TX,Harris,240102,1835,0.75,2,0.12,52.06
124,73112,T48201240400,Texas,TX,Harris,240400,7982,8.19,2,0.12,52.05
125,73113,T48201240503,Texas,TX,Harris,240503,1922,0.08,2,0.12,52.65
126,73114,T48201240504,Texas,TX,Harris,240504,3321,0.17,2,0.12,51.6
127,73115,T48201240505,Texas,TX,Harris,240505,1483,0.13,2,0.12,52.65
128,73116,T48201240506,Texas,TX,Harris,240506,5074,1.1,2,0.12,52.84
129,73117,T48201240600,Texas,TX,Harris,240600,2416,1.01,2,0.12,52.64
130,73118,T48201240703,Texas,TX,Harris,240703,5144,0.85,2,0.12,52.89
131,73119,T48201240704,Texas,TX,Harris,240704,5092,0.85,2,0.12,52.17
132,73120,T48201240705,Texas,TX,Harris,240705,6099,1.19,2,0.12,53.01
133,73121,T48201240706,Texas,TX,Harris,240706,9971,2.04,2,0.12,52.15
134,73122,T48201240707,Texas,TX,Harris,240707,6501,1.97,2,0.12,52.36
135,73123,T48201240802,Texas,TX,Harris,240802,7524,5.2,2,0.12,52.52
136,73124,T48201240803,Texas,TX,Harris,240803,2806,0.79,2,0.12,52.56
137,73125,T48201240804,Texas,TX,Harris,240804,3287,0.35,2,0.12,52.61
138,73126,T48201240903,Texas,TX,Harris,240903,6490,1.27,2,0.12,51.67
139,73127,T48201240904,Texas,TX,Harris,240904,9274,3.5,2,0.12,51.79
140,73128,T48201240905,Texas,TX,Harris,240905,3875,0.81,2,0.12,51.88
141,73129,T48201240906,Texas,TX,Harris,240906,8223,1.46,2,0.12,51.97
142,73130,T48201241001,Texas,TX,Harris,241001,4729,1.4,2,0.12,52.2
143,73131,T48201241002,Texas,TX,Harris,241002,4105,5.46,2,0.12,53
144,73132,T48201241101,Texas,TX,Harris,241101,5037,0.8,2,0.12,52.9
145,73133,T48201241103,Texas,TX,Harris,241103,4376,1.1,2,0.12,52.63
146,73134,T48201241104,Texas,TX,Harris,241104,9294,1.84,2,0.12,53.07
147,73135,T48201241105,Texas,TX,Harris,241105,4813,0.73,2,0.12,53.03
148,73136,T48201241201,Texas,TX,Harris,241201,3369,0.68,2,0.12,51.88
149,73137,T48201241202,Texas,TX,Harris,241202,5445,1.28,2,0.12,51.96
150,73138,T48201241301,Texas,TX,Harris,241301,5476,2.98,2,0.12,52.97
151,73139,T48201241302,Texas,TX,Harris,241302,6895,3.74,2,0.12,52.37
152,73140,T48201241400,Texas,TX,Harris,241400,9821,4.32,2,0.12,52.85
153,73141,T48201241501,Texas,TX,Harris,241501,4721,5.72,2,0.12,52.96
154,73142,T48201241502,Texas,TX,Harris,241502,2349,0.54,2,0.12,52.61
155,73143,T48201241503,Texas,TX,Harris,241503,2671,6.92,2,0.12,52.96
156,73144,T48201250101,Texas,TX,Harris,250101,4361,3.18,2,0.12,51.93
157,73145,T48201250102,Texas,TX,Harris,250102,5569,2.37,2,0.12,52.1
158,73146,T48201250201,Texas,TX,Harris,250201,8046,1.81,2,0.12,52.88
159,73147,T48201250202,Texas,TX,Harris,250202,2203,0.53,2,0.12,52.19
160,73148,T48201250303,Texas,TX,Harris,250303,3360,0.82,2,0.12,52.48
161,73149,T48201250304,Texas,TX,Harris,250304,9244,3.67,2,0.12,52.39
162,73150,T48201250305,Texas,TX,Harris,250305,6059,0.92,2,0.12,51.77
163,73151,T48201250306,Texas,TX,Harris,250306,4661,0.84,2,0.12,52.55
164,73152,T48201250403,Texas,TX,Harris,250403,5125,1.66,2,0.12,51.93
165,73153,T48201250404,Texas,TX,Harris,250404,5540,1.39,2,0.12,52.41
166,73154,T48201250405,Texas,TX,Harris,250405,7323,1,2,0.12,52.82
167,73155,T48201250406,Texas,TX,Harris,250406,4779,0.85,2,0.12,52.47
168,73156,T48201250407,Texas,TX,Harris,250407,10435,1.65,2,0.12,52.1
169,73157,T48201250408,Texas,TX,Harris,250408,9128,4.27,2,0.12,52.1
170,73158,T48201250500,Texas,TX,Harris,250500,5771,1.78,2,0.12,51.86
171,73159,T48201250601,Texas,TX,Harris,250601,3898,1.7,2,0.12,51.69
172,73160,T48201250602,Texas,TX,Harris,250602,4792,3.85,2,0.12,52.79
173,73161,T48201250701,Texas,TX,Harris,250701,6470,7.72,2,0.12,52.8
174,73162,T48201250702,Texas,TX,Harris,250702,4879,1.18,2,0.12,52.78
175,73163,T48201250801,Texas,TX,Harris,250801,3979,1.63,2,0.12,52.39
176,73164,T48201250802,Texas,TX,Harris,250802,4453,2.56,2,0.12,51.91
177,73165,T48201250901,Texas,TX,Harris,250901,3529,1.79,2,0.12,52.4
178,73166,T48201250902,Texas,TX,Harris,250902,6027,4.77,2,0.12,52.07
179,73167,T48201251000,Texas,TX,Harris,251000,3093,3.68,2,0.12,52.75
180,73168,T48201251100,Texas,TX,Harris,251100,7365,4.36,2,0.12,51.84
181,73169,T48201251200,Texas,TX,Harris,251200,5972,1.36,2,0.12,52.48
182,73170,T48201251300,Texas,TX,Harris,251300,7298,2.55,2,0.12,52.97
183,73171,T48201251401,Texas,TX,Harris,251401,3011,0.47,2,0.12,52.15
184,73172,T48201251402,Texas,TX,Harris,251402,5914,1.04,2,0.12,53.07
185,73173,T48201251501,Texas,TX,Harris,251501,6469,7.24,2,0.12,51.86
186,73174,T48201251503,Texas,TX,Harris,251503,2255,0.36,2,0.12,51.92
187,73175,T48201251504,Texas,TX,Harris,251504,5289,1.11,2,0.12,52.38
188,73176,T48201251505,Texas,TX,Harris,251505,3870,1.02,2,0.12,52.39
189,73177,T48201251600,Texas,TX,Harris,251600,7271,23.51,2,0.12,53.09
190,73178,T48201251701,Texas,TX,Harris,251701,4826,5.31,2,0.12,52.15
191,73179,T48201251702,Texas,TX,Harris,251702,4300,25.93,2,0.12,52.32
192,73180,T48201251800,Texas,TX,Harris,251800,2096,14.2,2,0.12,53.11
193,73181,T48201251902,Texas,TX,Harris,251902,7828,6.82,2,0.12,52.13
194,73182,T48201251903,Texas,TX,Harris,251903,4498,11.02,2,0.12,53.06
195,73183,T48201251904,Texas,TX,Harris,251904,6781,8.74,2,0.12,53.01
196,73184,T48201252001,Texas,TX,Harris,252001,7086,2.89,2,0.12,52.99
197,73185,T48201252002,Texas,TX,Harris,252002,5426,11.36,2,0.12,52.39
198,73186,T48201252003,Texas,TX,Harris,252003,11081,8.59,2,0.12,51.92
199,73187,T48201252100,Texas,TX,Harris,252100,3246,9.77,2,0.12,52.74
200,73188,T48201252201,Texas,TX,Harris,252201,4836,1.04,2.95,0.18,60.46
201,73189,T48201252202,Texas,TX,Harris,252202,6846,7.5,2.55,0.16,55.78
202,73190,T48201252303,Texas,TX,Harris,252303,5132,0.47,3,0.19,60.51
203,73191,T48201252304,Texas,TX,Harris,252304,3563,0.59,2.97,0.18,60.46
204,73192,T48201252305,Texas,TX,Harris,252305,7800,0.91,3,0.19,60.62
205,73193,T48201252306,Texas,TX,Harris,252306,8943,2.08,3,0.19,60.54
206,73194,T48201252400,Texas,TX,Harris,252400,7746,2.08,3,0.19,60.51
207,73195,T48201252500,Texas,TX,Harris,252500,5027,15.78,2.64,0.16,60.1
208,73196,T48201252601,Texas,TX,Harris,252601,4891,1.51,3,0.19,60.57
209,73197,T48201252602,Texas,TX,Harris,252602,3721,13.52,2.81,0.17,60.47
210,73198,T48201252700,Texas,TX,Harris,252700,5007,18.49,2.75,0.17,56.23
211,73199,T48201252800,Texas,TX,Harris,252800,7913,25.07,2.96,0.18,60.46
212,73200,T48201252901,Texas,TX,Harris,252901,3263,3.17,2.94,0.18,60.49
213,73201,T48201252902,Texas,TX,Harris,252902,7173,4.01,3,0.19,60.61
214,73202,T48201253000,Texas,TX,Harris,253000,4637,6.75,3,0.19,60.61
215,73203,T48201253101,Texas,TX,Harris,253101,6624,1.13,3,0.19,60.59
216,73204,T48201253102,Texas,TX,Harris,253102,7051,10.27,3,0.19,60.53
217,73205,T48201253201,Texas,TX,Harris,253201,6312,6.89,3,0.19,60.63
218,73206,T48201253202,Texas,TX,Harris,253202,5331,7.46,3,0.19,60.61
219,73207,T48201253300,Texas,TX,Harris,253300,3836,8.39,2.54,0.16,60.48
220,73208,T48201253501,Texas,TX,Harris,253501,6552,0.95,3,0.19,60.6
221,73209,T48201253502,Texas,TX,Harris,253502,3792,1.34,3,0.19,60.62
222,73210,T48201253601,Texas,TX,Harris,253601,4173,1.22,3,0.19,60.58
223,73211,T48201253602,Texas,TX,Harris,253602,4735,0.97,3,0.19,60.62
224,73212,T48201253700,Texas,TX,Harris,253700,5580,1.59,3,0.19,60.58
225,73213,T48201253800,Texas,TX,Harris,253800,8862,2.95,3,0.19,60.59
226,73214,T48201253900,Texas,TX,Harris,253900,4626,1.77,3,0.19,60.62
227,73215,T48201254000,Texas,TX,Harris,254000,3935,1.06,3,0.19,60.63
228,73216,T48201254100,Texas,TX,Harris,254100,5442,1.26,3,0.19,60.6
229,73217,T48201254200,Texas,TX,Harris,254200,2913,0.49,3,0.19,60.57
230,73218,T48201254300,Texas,TX,Harris,254300,5340,1.21,2.97,0.18,60.54
231,73219,T48201254400,Texas,TX,Harris,254400,3116,1.12,2.98,0.18,60.51
232,73220,T48201254600,Texas,TX,Harris,254600,3691,2.72,2.55,0.22,60.47
233,73221,T48201254700,Texas,TX,Harris,254700,2421,11.67,2.49,0.22,60.5
234,73222,T48201254800,Texas,TX,Harris,254800,2705,8.26,2.91,0.18,60.47
235,73223,T48201310101,Texas,TX,Harris,310101,3625,0.86,2,0.12,52.74
236,73224,T48201310102,Texas,TX,Harris,310102,2455,0.46,2,0.12,52.99
237,73225,T48201310200,Texas,TX,Harris,310200,2349,0.73,2,0.12,52.33
238,73226,T48201310300,Texas,TX,Harris,310300,5026,0.88,2,0.12,51.92
239,73227,T48201310400,Texas,TX,Harris,310400,3316,0.68,2,0.12,52.99
240,73228,T48201310500,Texas,TX,Harris,310500,3755,1.23,2,0.12,52.36
241,73229,T48201310600,Texas,TX,Harris,310600,4961,0.69,2,0.12,51.87
242,73230,T48201310700,Texas,TX,Harris,310700,3699,0.77,2,0.12,51.93
243,73231,T48201310800,Texas,TX,Harris,310800,2663,0.75,2,0.12,52.41
244,73232,T48201310900,Texas,TX,Harris,310900,5334,0.68,2,0.12,51.94
245,73233,T48201311001,Texas,TX,Harris,311001,3040,0.33,2,0.12,53.02
246,73234,T48201311002,Texas,TX,Harris,311002,3299,0.62,2,0.12,52.49
247,73235,T48201311100,Texas,TX,Harris,311100,5238,1.08,2,0.12,52.45
248,73236,T48201311200,Texas,TX,Harris,311200,4588,1.19,2,0.12,51.78
249,73237,T48201311300,Texas,TX,Harris,311300,4912,0.58,2,0.12,53.06
250,73238,T48201311400,Texas,TX,Harris,311400,1546,1.02,2,0.12,52.36
251,73239,T48201311501,Texas,TX,Harris,311501,2966,0.3,2,0.12,51.82
252,73240,T48201311502,Texas,TX,Harris,311502,3723,0.62,2,0.12,51.96
253,73241,T48201311600,Texas,TX,Harris,311600,3628,0.19,2,0.12,53.03
254,73242,T48201311701,Texas,TX,Harris,311701,3506,0.63,2,0.12,53.06
255,73243,T48201311702,Texas,TX,Harris,311702,1890,0.43,2,0.12,52.4
256,73244,T48201311800,Texas,TX,Harris,311800,4325,0.98,2,0.12,51.94
257,73245,T48201311900,Texas,TX,Harris,311900,2145,0.83,2,0.12,52.36
258,73246,T48201312000,Texas,TX,Harris,312000,5745,0.73,2,0.12,52.92
259,73247,T48201312200,Texas,TX,Harris,312200,2351,0.42,2,0.12,51.87
260,73248,T48201312300,Texas,TX,Harris,312300,2324,0.55,2,0.12,52.98
261,73249,T48201312400,Texas,TX,Harris,312400,1981,0.42,2,0.12,52.1
262,73250,T48201312501,Texas,TX,Harris,312501,2474,0.38,2,0.12,52.34
263,73251,T48201312502,Texas,TX,Harris,312502,2384,0.32,2,0.12,52.04
264,73252,T48201312601,Texas,TX,Harris,312601,2797,0.18,2,0.12,52.35
265,73253,T48201312602,Texas,TX,Harris,312602,2453,0.2,2,0.12,52.98
266,73254,T48201312603,Texas,TX,Harris,312603,3052,0.4,2,0.12,52.81
267,73255,T48201312700,Texas,TX,Harris,312700,1852,0.34,2,0.12,52.41
268,73256,T48201312800,Texas,TX,Harris,312800,5476,0.36,2,0.12,52.1
269,73257,T48201312901,Texas,TX,Harris,312901,1505,0.18,2,0.12,52.88
270,73258,T48201312902,Texas,TX,Harris,312902,1801,0.38,2,0.12,53.08
271,73259,T48201313000,Texas,TX,Harris,313000,2462,0.47,2,0.12,52.82
272,73260,T48201313101,Texas,TX,Harris,313101,2297,0.27,2,0.12,52.4
273,73261,T48201313102,Texas,TX,Harris,313102,2011,1.26,2,0.12,52.96
274,73262,T48201313201,Texas,TX,Harris,313201,1610,0.56,2,0.12,51.91
275,73263,T48201313202,Texas,TX,Harris,313202,2790,0.67,2,0.12,51.82
276,73264,T48201313300,Texas,TX,Harris,313300,3156,0.89,2,0.12,52.14
277,73265,T48201313400,Texas,TX,Harris,313400,3603,0.73,2,0.12,52.52
278,73266,T48201313500,Texas,TX,Harris,313500,2645,0.63,2,0.12,52.11
279,73267,T48201313600,Texas,TX,Harris,313600,4871,0.9,2,0.12,51.87
280,73268,T48201313700,Texas,TX,Harris,313700,2256,0.52,2,0.12,51.93
281,73269,T48201313801,Texas,TX,Harris,313801,2035,0.35,2,0.12,52.6
282,73270,T48201313802,Texas,TX,Harris,313802,2797,0.51,2,0.12,52.56
283,73271,T48201313901,Texas,TX,Harris,313901,2211,0.83,2,0.12,52.32
284,73272,T48201313902,Texas,TX,Harris,313902,2592,0.25,2,0.12,51.5
