,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile
362,73350,T48201331602,Texas,TX,Harris,331602,3604,2.36,22,0.21,88.46
363,73351,T48201331603,Texas,TX,Harris,331603,4199,0.84,22,0.21,88.5
364,73352,T48201331604,Texas,TX,Harris,331604,2542,0.37,21,0.21,88.64
365,73353,T48201331700,Texas,TX,Harris,331700,4053,2.02,23,0.21,88.59
366,73354,T48201331800,Texas,TX,Harris,331800,3868,0.91,23,0.21,88.63
367,73355,T48201331900,Texas,TX,Harris,331900,3345,0.66,23,0.21,88.54
368,73356,T48201332000,Texas,TX,Harris,332000,6034,0.86,23,0.21,88.52
369,73357,T48201332100,Texas,TX,Harris,332100,2954,0.42,20,0.21,88.78
370,73358,T48201332200,Texas,TX,Harris,332200,4921,1.13,19,0.21,88.29
371,73359,T48201332300,Texas,TX,Harris,332300,2999,0.47,19,0.21,88.8
372,73360,T48201332400,Texas,TX,Harris,332400,4060,1.44,22,0.21,88.47
373,73361,T48201332500,Texas,TX,Harris,332500,3190,0.71,19,0.21,88.6
374,73362,T48201332600,Texas,TX,Harris,332600,6577,1.28,19,0.21,88.58
375,73363,T48201332700,Texas,TX,Harris,332700,2473,0.97,18,0.2,88.15
376,73364,T48201332800,Texas,TX,Harris,332800,3962,0.76,18,0.19,88.01
377,73365,T48201332900,Texas,TX,Harris,332900,4885,0.72,19,0.19,88.12
378,73366,T48201333000,Texas,TX,Harris,333000,3285,0.6,19,0.21,88.57
379,73367,T48201333100,Texas,TX,Harris,333100,3793,0.49,19,0.21,88.56
380,73368,T48201333201,Texas,TX,Harris,333201,4818,0.45,20,0.21,88.59
381,73369,T48201333203,Texas,TX,Harris,333203,2163,0.76,20,0.21,88.39
382,73370,T48201333204,Texas,TX,Harris,333204,1280,0.06,20,0.21,88.6
383,73371,T48201333205,Texas,TX,Harris,333205,1515,0.05,20,0.21,88.62
384,73372,T48201333301,Texas,TX,Harris,333301,5693,0.57,20,0.21,88.72
385,73373,T48201333302,Texas,TX,Harris,333302,3646,2.12,20,0.21,88.23
386,73374,T48201333501,Texas,TX,Harris,333501,3443,0.38,20,0.21,88.54
387,73375,T48201333502,Texas,TX,Harris,333502,2621,0.35,20,0.21,88.57
388,73376,T48201333600,Texas,TX,Harris,333600,3201,1.46,19,0.21,88.55
389,73377,T48201333700,Texas,TX,Harris,333700,3442,3.49,23,0.21,88.27
390,73378,T48201333801,Texas,TX,Harris,333801,4188,2.04,23,0.21,88.44
391,73379,T48201333802,Texas,TX,Harris,333802,5797,1.33,23,0.21,88.45
392,73380,T48201333903,Texas,TX,Harris,333903,3689,0.8,20,0.21,88.57
393,73381,T48201333904,Texas,TX,Harris,333904,5058,0.87,20,0.21,88.64
394,73382,T48201333905,Texas,TX,Harris,333905,4159,1.11,20,0.21,88.54
395,73383,T48201333906,Texas,TX,Harris,333906,5147,0.77,20,0.21,88.6
396,73384,T48201334001,Texas,TX,Harris,334001,3707,0.53,20,0.21,88.59
397,73385,T48201334002,Texas,TX,Harris,334002,2240,0.52,20,0.21,88.52
398,73386,T48201334003,Texas,TX,Harris,334003,6324,1.08,20,0.21,88.52
399,73387,T48201334101,Texas,TX,Harris,334101,7269,6.12,23,0.21,88.21
400,73388,T48201334102,Texas,TX,Harris,334102,7351,4.76,23,0.21,88.33
401,73389,T48201340101,Texas,TX,Harris,340101,1879,1.56,20,0.21,88.43
402,73390,T48201340102,Texas,TX,Harris,340102,5395,1.74,20,0.21,88.53
403,73391,T48201340201,Texas,TX,Harris,340201,0,3.94,20,0.21,88.22
404,73392,T48201340202,Texas,TX,Harris,340202,7911,6.49,20,0.21,88.4
405,73393,T48201340203,Texas,TX,Harris,340203,4434,4.59,21,0.21,88.35
406,73394,T48201340301,Texas,TX,Harris,340301,3906,1.41,20,0.21,88.41
407,73395,T48201340302,Texas,TX,Harris,340302,6761,1.34,20,0.21,88.48
408,73396,T48201340400,Texas,TX,Harris,340400,1306,0.63,20,0.21,88.25
409,73397,T48201340501,Texas,TX,Harris,340501,3904,0.8,20,0.21,88.5
410,73398,T48201340502,Texas,TX,Harris,340502,2878,0.3,20,0.21,88.63
411,73399,T48201340600,Texas,TX,Harris,340600,2563,0.63,20,0.21,88.34
412,73400,T48201340701,Texas,TX,Harris,340701,4055,0.74,20,0.21,88.58
413,73401,T48201340702,Texas,TX,Harris,340702,2961,0.5,20,0.21,88.56
414,73402,T48201340800,Texas,TX,Harris,340800,5580,1.13,20,0.21,88.48
415,73403,T48201340900,Texas,TX,Harris,340900,4528,1.55,20,0.21,88.53
416,73404,T48201341001,Texas,TX,Harris,341001,3957,0.48,20,0.21,88.51
417,73405,T48201341002,Texas,TX,Harris,341002,3695,0.7,20,0.21,88.56
418,73406,T48201341101,Texas,TX,Harris,341101,1480,1.01,20,0.21,88.32
419,73407,T48201341102,Texas,TX,Harris,341102,2641,0.81,20,0.21,88.4
420,73408,T48201341201,Texas,TX,Harris,341201,5326,3.29,21,0.21,88.43
421,73409,T48201341203,Texas,TX,Harris,341203,2330,0.55,20,0.21,88.49
422,73410,T48201341204,Texas,TX,Harris,341204,3843,1.44,20,0.21,88.42
423,73411,T48201341302,Texas,TX,Harris,341302,3441,0.79,20,0.21,88.38
424,73412,T48201341303,Texas,TX,Harris,341303,3304,0.46,20,0.21,88.57
425,73413,T48201341304,Texas,TX,Harris,341304,1956,4.25,20,0.21,88.41
